Date,Open,High,Low,Close,Adj Close,Volume,highorlow,isIncreseing
01-12-2016,8244,8250.799805,8185.049805,8192.900391,8192.900391,157700,66.75,1
02-12-2016,8153.549805,8159.299805,8070.049805,8086.799805,8086.799805,171500,-40,0
05-12-2016,8088.75,8141.899902,8056.850098,8128.75,8128.75,126500,10,1
06-12-2016,8153.149902,8178.700195,8130.850098,8143.149902,8143.149902,115300,66.350097,1
07-12-2016,8168.399902,8190.450195,8077.5,8102.049805,8102.049805,169800,-94.749511,0
08-12-2016,8152.100098,8256.25,8151.75,8246.849609,8246.849609,142500,9.950195,1
09-12-2016,8271.700195,8274.950195,8241.950195,8261.75,8261.75,149700,59.850586,1
12-12-2016,8230.650391,8230.650391,8154.450195,8170.799805,8170.799805,108100,-25.649414,0
13-12-2016,8196.150391,8228.849609,8155.799805,8221.799805,8221.799805,184000,46.899414,1
14-12-2016,8229.349609,8229.400391,8165.100098,8182.450195,8182.450195,144600,-25.200196,0
15-12-2016,8128.399902,8225.900391,8121.950195,8153.600098,8153.600098,181800,38.75,1
16-12-2016,8178.200195,8178.700195,8127.450195,8139.450195,8139.450195,203000,21.649902,1
19-12-2016,8126,8132.5,8094.850098,8104.350098,8104.350098,107400,28.200196,1
20-12-2016,8110.600098,8124.100098,8062.75,8082.399902,8082.399902,128000,44.550293,1
21-12-2016,8105.850098,8112.549805,8053.25,8061.299805,8061.299805,123700,64.75,1
22-12-2016,8043.850098,8046.450195,7964.950195,7979.100098,7979.100098,122600,-13.25,0
23-12-2016,7972.5,8022.600098,7942.049805,7985.75,7985.75,124100,56.850098,1
26-12-2016,7965.100098,7970.049805,7893.799805,7908.25,7908.25,106900,-117.800293,0
27-12-2016,7915.049805,8044.649902,7903.700195,8032.850098,8032.850098,118800,12.699707,1
28-12-2016,8047.549805,8100.549805,8028.399902,8034.850098,8034.850098,126700,-73,0
29-12-2016,8030.600098,8111.100098,8020.799805,8103.600098,8103.600098,178500,-66.149903,0
30-12-2016,8119.649902,8197,8114.75,8185.799805,8185.799805,127600,30.599609,1
02-01-2017,8210.099609,8212,8133.799805,8179.5,8179.5,118300,3.799805,1
03-01-2017,8196.049805,8219.099609,8148.600098,8192.25,8192.25,127300,12.150391,1
04-01-2017,8202.650391,8218.5,8180.899902,8190.5,8190.5,132400,-47.149414,0
05-01-2017,8226.650391,8282.650391,8223.700195,8273.799805,8273.799805,159100,38.049804,1
06-01-2017,8281.849609,8306.849609,8233.25,8243.799805,8243.799805,139400,23.299804,1
09-01-2017,8259.349609,8263,8227.75,8236.049805,8236.049805,99100,-25.899414,0
10-01-2017,8262.700195,8293.799805,8261,8288.599609,8288.599609,142900,-52.850586,0
11-01-2017,8327.799805,8389,8322.25,8380.650391,8380.650391,186500,-16.15039,0
12-01-2017,8391.049805,8417.200195,8382.299805,8407.200195,8407.200195,172600,57.300782,1
13-01-2017,8457.650391,8461.049805,8373.150391,8400.349609,8400.349609,185300,-21.84961,0
16-01-2017,8390.950195,8426.700195,8374.400391,8412.799805,8412.799805,124100,17.049805,1
17-01-2017,8415.049805,8440.900391,8378.299805,8398,8398,122000,-13.150391,0
18-01-2017,8403.849609,8460.299805,8397.400391,8417,8417,163800,-16.699218,0
19-01-2017,8418.400391,8445.150391,8404.049805,8435.099609,8435.099609,165900,55,1
20-01-2017,8404.349609,8423.650391,8340.950195,8349.349609,8349.349609,202600,-61.900391,0
23-01-2017,8329.599609,8404.150391,8327.200195,8391.5,8391.5,195000,-68.75,0
24-01-2017,8407.049805,8480.950195,8398.150391,8475.799805,8475.799805,179200,-103.299805,0
25-01-2017,8499.450195,8612.599609,8493.950195,8602.75,8602.75,292500,-30.75,0
27-01-2017,8610.5,8672.700195,8606.900391,8641.25,8641.25,275400,2.799805,1
30-01-2017,8635.549805,8662.599609,8617.75,8632.75,8632.75,304700,68.15039,1
31-01-2017,8629.450195,8631.75,8552.400391,8561.299805,8561.299805,521000,-146.050782,0
01-02-2017,8570.349609,8722.400391,8537.5,8716.400391,8716.400391,327700,-9.5,0
02-02-2017,8724.75,8757.599609,8685.799805,8734.25,8734.25,283500,-5.799804,0
